id_2gis,название,номер_зоны,район,микрорайон,широта,долгота,платная,мест_всего,спец_места,тип_парковки,часы_работы,ссылка_2гис
9430468308963242,Парковка №1806,1806,Алатауский,,43.300068,76.893843,Да,200,,ground,Mon 08:00-19:00; Tue 08:00-19:00; Wed 08:00-19:00; Thu 08:00-19:00; Fri 08:00-19:00; Sat 08:00-19:00; Sun 08:00-19:00,https://2gis.kz/almaty/firm/9430468308963242
9430468308963264,Парковка №9008,9008,Алатауский,,43.295828,76.892109,Да,50,,ground,24/7,https://2gis.kz/almaty/firm/9430468308963264
70030077053194322,Платная парковка,,Алмалинский,,43.246427,76.946097,Да,6,,ground,Mon 08:00-19:00; Tue 08:00-19:00; Wed 08:00-19:00; Thu 08:00-19:00; Fri 08:00-19:00; Sat 08:00-19:00; Sun 08:00-19:00,https://2gis.kz/almaty/firm/70030077053194322
70030076154569439,Парковка №2002,2002,Алмалинский,,43.254407,76.913291,Нет,18,,ground,24/7,https://2gis.kz/almaty/firm/70030076154569439
70030076390312214,Парковка №2002,2002,Алмалинский,,43.255167,76.912952,Нет,10,,ground,24/7,https://2gis.kz/almaty/firm/70030076390312214
70030076979081341,Парковка №2002,2002,Алмалинский,,43.255178,76.912832,Нет,10,,ground,24/7,https://2gis.kz/almaty/firm/70030076979081341
9430468311097797,Парковка №2004,2004,Алмалинский,,43.255752,76.929018,Да,5,,ground,24/7,https://2gis.kz/almaty/firm/9430468311097797
9430468281762237,Парковка №2004,2004,Алмалинский,,43.254802,76.930872,Да,10,,ground,24/7,https://2gis.kz/almaty/firm/9430468281762237
9430468311097784,Парковка №2004,2004,Алмалинский,,43.256695,76.928878,Да,10,,ground,Mon 08:00-19:00; Tue 08:00-19:00; Wed 08:00-19:00; Thu 08:00-19:00; Fri 08:00-19:00; Sat 08:00-19:00; Sun 08:00-19:00,https://2gis.kz/almaty/firm/9430468311097784
9430468311097903,Парковка №2004,2004,Алмалинский,,43.257303,76.931914,Да,10,,ground,Mon 08:00-19:00; Tue 08:00-19:00; Wed 08:00-19:00; Thu 08:00-19:00; Fri 08:00-19:00; Sat 08:00-19:00; Sun 08:00-19:00,https://2gis.kz/almaty/firm/9430468311097903
9430468311097999,Парковка №2004,2004,Алмалинский,,43.255449,76.929547,Да,15,,ground,Mon 08:00-19:00; Tue 08:00-19:00; Wed 08:00-19:00; Thu 08:00-19:00; Fri 08:00-19:00; Sat 08:00-19:00; Sun 08:00-19:00,https://2gis.kz/almaty/firm/9430468311097999
9430468311123692,Парковка №2004,2004,Алмалинский,,43.258863,76.930394,Да,5,Для инвалидов: 4,ground,Mon 08:00-19:00; Tue 08:00-19:00; Wed 08:00-19:00; Thu 08:00-19:00; Fri 08:00-19:00; Sat 08:00-19:00; Sun 08:00-19:00,https://2gis.kz/almaty/firm/9430468311123692
70030076170924784,Парковка №2004,2004,Алмалинский,,43.257984,76.928589,Да,35,,ground,24/7,https://2gis.kz/almaty/firm/70030076170924784
70030076189254757,Парковка №2004,2004,Алмалинский,,43.258614,76.927125,Да,30,,ground,24/7,https://2gis.kz/almaty/firm/70030076189254757
70030076306415929,Парковка №2004,2004,Алмалинский,,43.25716,76.929763,Да,20,,ground,24/7,https://2gis.kz/almaty/firm/70030076306415929
70030076845522303,Парковка №2004,2004,Алмалинский,,43.256022,76.928952,Да,10,,ground,24/7,https://2gis.kz/almaty/firm/70030076845522303
70030076895403932,Парковка №2004,2004,Алмалинский,,43.258777,76.929152,Да,10,,ground,24/7,https://2gis.kz/almaty/firm/70030076895403932
